"Category";"Type";"Diff";"Sum";"Connectance";"Var1";"Var2";"Var3";"Var4";"Var5";"Var6";"Var7";"Var8";"Var9";"Var10";"Var11";"Var12";"Var13";"Var14";"Var15";"Var16";"Var17";"Var18";"Var19";"Var20";"Var21";"Var22";"Var23";"Var24";"Var25";"Var26";"Var27";"Var28";"Var29";"Var30";"Var31";"Var32";"Var33";"Var34";"Var35";"Var36";"Var37";"Var38";"Var39";"Var40";"Var41";"Var42";"Var43";"Var44";"Var45";"Var46";"Var47";"Var48";"Var49";"Var50";"Var51";"Var52";"Var53";"Var54";"Var55";"Var56";"Var57";"Var58";"Var59";"Var60";"Var61";"Var62";"Var63";"Var64";"Var65";"Var66";"Var67";"Var68";"Var69";"Var70";"Var71";"Var72";"Var73";"Var74";"Var75";"Var76";"Var77";"Var78";"Var79";"Var80";"Var81";"Var82";"Var83";"Var84";"Var85";"Var86";"Var87";"Var88";"Var89";"Var90";"Var91";"Var92";"Var93";"Var94";"Var95";"Var96";"Var97";"Var98";"Var99";"Var100";"Nestedness";"Modularity";"Motif_1";"Motif_2";"Motif_3";"Motif_4";"Motif_5";"Motif_6";"Motif_7";"Motif_8";"Motif_9";"Motif_10";"Motif_11";"Motif_12";"Motif_13";"Motif_14";"Motif_15";"Motif_16";"Motif_17";"Motif_18";"Motif_19";"Motif_20";"Motif_21";"Motif_22";"Motif_23";"Motif_24";"Motif_25";"Motif_26";"Motif_27";"Motif_28";"Motif_29";"Motif_30";"Motif_31";"Motif_32";"Motif_33";"Motif_34";"Motif_35";"Motif_36";"Motif_37";"Motif_38";"Motif_39";"Motif_40";"Motif_41";"Motif_42";"Motif_43";"Motif_44"
"1";"Empirical antagonistic";"Host-Parasite";37;65;0.159663865546218;0.275240468798079;0.248657910457759;0.183347350801983;0.110348428853394;0.0542743693278842;0.0221821424852655;0.00923463338881384;0.010028399455888;0.026024728707764;0.0667381845065031;0.143871661595771;0.25829680935187;0.387195656027468;0.486033346223353;0.511923748808544;0.453039639236744;0.338235844144907;0.218502916254227;0.138393601882527;0.119815831921435;0.161514856475582;0.24411764393369;0.336916726395777;0.40900284335453;0.439984620921102;0.422481872784876;0.360120644114721;0.268216223870277;0.172276290447418;0.098241301866687;0.0623347736159111;0.0701257933223448;0.120175845848733;0.202962272185381;0.298100843024054;0.380179626939692;0.43174079286647;0.45052002726974;0.447213773999032;0.441083727621954;0.452537902481989;0.48743743623157;0.525337047828503;0.531216632434306;0.485889685596714;0.406127793854914;0.333350366042314;0.299497671490895;0.301230744476435;0.307821131768184;0.295354963623232;0.271155918275665;0.262372122874591;0.283638709033135;0.322180645195837;0.355717109937795;0.37785127023146;0.399257200321068;0.428089213627725;0.458632245479501;0.479278785260688;0.48408738818714;0.474667979723564;0.454100797493446;0.419801228568067;0.363738418158283;0.283385119705971;0.191272110360754;0.108979935082377;0.0516044009092439;0.0201334561079485;0.00644241761668824;0.00168672273404124;0.000360887072903971;6.30609057278108e-05;8.99646614077587e-06;1.04769803738828e-06;9.95902723144538e-08;7.72673647033338e-09;4.89287827554048e-10;2.52883262962623e-11;1.07487415607524e-12;3.52340282980165e-13;9.97585139647626e-12;2.57295568320003e-10;5.41675306538129e-09;9.30733526159926e-08;1.30524256142067e-06;1.49395200072014e-05;0.000139560208679816;0.00106406001737141;0.00662140553751137;0.0336289880793605;0.139398133721482;0.471606376099858;1.30221269641658;2.93470012899033;5.397903117409;8.10337595464872;9.92856400458144;1.52898488332521;0.444598337950139;0.000457774333315933;0.00070272375728323;0.00237319851745365;0.00942452947624994;0.00916753335930065;0.00118860704089049;0.00118860704089049;0.0295264444988776;0.0397259778903028;0.0226076271628833;0.0148334946251671;0.002268793844943;0.0180379149583787;0.00335299621332284;0.00503150210214793;0.000674614806991901;0.00175881717537174;0.0734486871112432;0.130019957354707;0.16146584160205;0.054149884954082;0.0358830828290454;0.0274142576627006;0.00375856821038345;0.0629680642169047;0.0762957222193221;0.0280005300544912;0.0239528412125398;0.0555352546470118;0.00619601575707442;0.0104886540229931;0.0170661483911642;0.00907919094409933;0.000357385225132614;0.00360999233027213;0.00389911296184009;0.000534070055535255;0.0301408258409596;0.00662568114009902;0.00900691078620734;0.00261413237709361;0.00267035027767627;0.000377463046769278;0.00212021796483169
"2";"Empirical antagonistic";"Host-Parasite";36;70;0.175360710321865;0.280145447485296;0.247964256350133;0.171962624763931;0.0935341643444337;0.0405042377705416;0.0168739440174214;0.017207387309824;0.0416299129675323;0.0955657609089742;0.174447769314826;0.249736953873134;0.280115832030215;0.246154429361694;0.169501874376714;0.0916915550527138;0.0402344038553131;0.0197641240901318;0.026967291112145;0.0634794954920493;0.130839731553221;0.213639906353124;0.275562655266104;0.286260813543132;0.255667103770133;0.229300239684021;0.24105991788798;0.276058019469038;0.287191974820959;0.246327548348933;0.172082401362397;0.109581500724387;0.0944954367371374;0.134929658498638;0.209130489201154;0.27411465698931;0.294232845969849;0.27439368735424;0.255555484413936;0.267353640238473;0.293135274330612;0.292739122815798;0.255224043933471;0.216150645848121;0.220994630636608;0.281632557763083;0.374672592971891;0.473959309974981;0.565716497648011;0.627208110460005;0.62029657992324;0.534453102843978;0.420025219395495;0.349959298117877;0.353010729798828;0.400957916862209;0.452544090039524;0.48903700191723;0.508332904200916;0.506414595648176;0.477435820054697;0.430321614045811;0.399317060892785;0.422743517641174;0.496341662217332;0.557112290967883;0.534475477716468;0.418488185798089;0.266983826187307;0.153213981164146;0.121934340578437;0.184367995250538;0.320453285373947;0.471004432262592;0.554224961129738;0.524729145338054;0.418353652057703;0.320166845876041;0.284462936566961;0.293103370578182;0.288878357063315;0.238389446681484;0.157028355875006;0.0814418767053607;0.0331359968312146;0.0105660236862419;0.00263979427827098;0.000516710708010687;7.92902257186858e-05;1.05078515479333e-05;1.53761426907799e-05;0.000166296736509338;0.00149505562007871;0.0105343428880015;0.0581520119565945;0.251494300168106;0.852113896706595;2.26189921121596;4.7038660924482;7.66377508174052;9.78220254287501;1.31381449739186;0.432542861720878;0.000283551500489934;0.000644272080227128;0.00148774806269719;0.00544131740180683;0.00795918294096745;0.00126341934395515;0.00152005139819604;0.0150730952697149;0.029632926430948;0.0224903000262016;0.0136427753590157;0.00211048458592508;0.0229353682041858;0.00378128488311576;0.0069380386132537;0.00131187434720343;0.00308676316989042;0.0328524922023337;0.0802414853791514;0.163004425556963;0.0434013258724593;0.0321507919701086;0.0212430323499959;0.00269373925465437;0.0726825048724198;0.111629559705537;0.0202882893230298;0.0347942815917648;0.0657821534839147;0.00757154291498121;0.010760599980618;0.0321184886346098;0.0167654311239048;0.000455835956483818;0.00561539648755065;0.00608917874153383;0.00122752674895642;0.0532017989368613;0.0112074627883521;0.0170866698491434;0.00401638138035742;0.00719825992699446;0.00124547304645579;0.00507341830306989
"3";"Empirical mutualistic";"Pollination";17;177;0.0458762886597938;0.121919146930527;0.105170773218555;0.0675094425492777;0.0322463294822925;0.0114615367969867;0.00303170544415906;0.00060017415999161;0.000124370437510684;0.000298317536758498;0.00169306360465825;0.00748769802406812;0.025256780781506;0.0659082478197949;0.135787923575593;0.226349136486971;0.312946383150965;0.367123951298732;0.375050797809588;0.348242189079359;0.314595773770728;0.296703319375731;0.299488499394437;0.316739404564907;0.344587292595635;0.384639215407512;0.432735584772978;0.468860477686482;0.468873145745787;0.432605535700879;0.394690597207988;0.399061011012741;0.456487989500924;0.526045812939461;0.547404136947516;0.499262018705073;0.422274094103835;0.378798793569215;0.393778947606487;0.440162241356041;0.472631365850419;0.466389508319862;0.434606572181807;0.416803465813454;0.441350298968065;0.496937341278543;0.54654875509367;0.563814330655068;0.54880701674679;0.515371396693713;0.474142070084352;0.432146999118499;0.401418907247748;0.395753614494334;0.417831724270415;0.455632421496563;0.492903682738323;0.518142067761489;0.521393457390734;0.495554246453223;0.452002193370553;0.418424980636817;0.405659034981976;0.394939419554938;0.370234318931178;0.342953064994894;0.336504620129966;0.359727744131973;0.395962803154417;0.415037505640212;0.404521690790287;0.387345447980197;0.396315533173781;0.432577948337067;0.460754937653394;0.451121798262037;0.417798798930354;0.400146176218197;0.415572780578258;0.449791695302479;0.480308858103143;0.492284819005604;0.485691400160941;0.476872117899784;0.477271500302581;0.466743058889701;0.412987915819128;0.324777237288118;0.254389953127291;0.237012714977803;0.256472659767116;0.277199868053748;0.284020254159223;0.281384215026424;0.276698505385107;0.30281328896298;0.502122336071349;1.19609963235831;2.70931728737267;4.82585336882452;6.46799154002033;2.40054563085222;0.475389786643096;6.42821945002249e-05;0.000306784967572703;0.000250447763403966;0.00106390643257114;0.00323397220083997;0.000152038224070757;0.00191853459709239;0.0043493405026037;0.0168518661969733;0.0066058983247085;0.0024100405898722;0.000142287554118475;0.0250761951657984;0.0069406713264035;0.00287951729127833;0.000153121631843232;0.0114577594657789;0.0155655000351205;0.0804256925819612;0.0544515329407425;0.0146796336131595;0.00686988868526842;0.00268233707668776;0.000173706379520271;0.116852028708139;0.0871899490094132;0.06320059240737;0.0473440168173777;0.0410544735622321;0.00772794764106917;0.00273361837791827;0.00904627433221002;0.00270526920787182;0.00059461029912708;0.00172045154269141;0.000523285954105763;3.17799613259539e-05;0.17975829533732;0.0819206147400155;0.0249604511021056;0.0103913250817386;0.00350879663912464;0.000173525811558191;0.0598577377253962
"4";"Empirical mutualistic";"Pollination";21;103;0.0759244689221086;0.174619362777967;0.157585770001637;0.115832816370197;0.0694291224388869;0.0343656681441148;0.0159281077579287;0.0133954019353852;0.0281393929056265;0.0671134333712263;0.138522245017078;0.241563517177737;0.358117120511306;0.456398754505511;0.507978309386368;0.505579931767321;0.465845699888007;0.415189024914812;0.373012990662035;0.345754123029965;0.331275510492247;0.325557893494732;0.326184565182946;0.330972808753869;0.334359676487474;0.327477703821729;0.304591270925276;0.271531531949098;0.247462602253473;0.25386412988181;0.296782529032251;0.359546502469838;0.415076574299751;0.44545964394403;0.449331266205849;0.433888631083498;0.405452480883623;0.369409742309082;0.334775357082725;0.313029447659354;0.311795819490781;0.33287063322185;0.375598777470105;0.436213270639629;0.502069989611868;0.552353190393382;0.570390141390043;0.557148581105907;0.532893711555294;0.524079389252393;0.544066157846888;0.58318155856871;0.617996742948742;0.629808092602222;0.611659556509078;0.561565675706033;0.480879416511214;0.385204158128276;0.308965072898454;0.28769239418076;0.330555456017172;0.408960906138463;0.472214458998343;0.479659259030852;0.427373155960798;0.349987742020065;0.295044128782339;0.289834905160414;0.327982033056804;0.384683142397227;0.442699711697538;0.502700108550202;0.570041529756777;0.636829300341108;0.682614076939835;0.691830082629612;0.665125935429127;0.615092298071868;0.558746987806838;0.513635523028655;0.490875405852483;0.486423033322617;0.48296470491642;0.465439883343503;0.435962688398682;0.410955271988531;0.400524397445202;0.392360813181401;0.36103050066357;0.293885986600623;0.204281454965134;0.119475639431201;0.0606670672432334;0.0388089354762482;0.0738330384056147;0.229016004816748;0.633939813380201;1.44013280072566;2.66601738229701;4.0196071585212;4.93565413200842;1.74135620344867;0.499664420521358;0.000371954263116206;0.000921213149065007;0.00122186011821593;0.00323773659085609;0.00882090498592163;0.00042398931546925;0.00259597094516855;0.00670481285689782;0.0291569743351558;0.0193088588713019;0.00447501450236181;0.000202358536928506;0.0304867590064003;0.0124113235982817;0.00426109262046596;0.000181159071155043;0.00680888296160391;0.0107577652679516;0.0700603799329711;0.119815526103288;0.0141516070158668;0.011303169705578;0.00215463661224828;9.44339838999694e-05;0.0924797786004884;0.107670159439255;0.0645022654520015;0.0983944295512844;0.0383691058258059;0.0105669700759904;0.00195613252364222;0.0154081571689848;0.00203322149009118;0.00198118643773813;0.00226063394111559;0.000395080953050892;1.54177932897909e-05;0.0929442396233433;0.0680946112885228;0.016778413547615;0.00904253576446237;0.00237241294246658;7.51617422877307e-05;0.0147317014883952
"5";"Empirical mutualistic";"Pollination";11;61;0.09;0.252943133775454;0.244685552712651;0.218590178696414;0.19537879390553;0.192147150252742;0.211265623587077;0.238899283531811;0.254270087334114;0.24349350678102;0.2087373403269;0.167182484113599;0.14192417278381;0.151642546933676;0.204216993557959;0.29510628277431;0.409104815595612;0.524318211257779;0.617735978833713;0.67177750379804;0.680417216739106;0.651905070201168;0.605043258961873;0.560026299685685;0.529853701068272;0.51783243925865;0.520754853153033;0.533098366018029;0.548893643901924;0.561336051885149;0.561994042400901;0.541568942521297;0.493198271238264;0.417076240598932;0.32303177546957;0.228321159499839;0.151497379982394;0.106242215834828;0.0981562978519592;0.124174846415348;0.173116117009934;0.228080912769415;0.272599687292658;0.298866055771615;0.311774088007794;0.324188095295783;0.347091463609966;0.383442544552459;0.429601983168506;0.479243274031447;0.523676937583011;0.550447297567344;0.54696120393319;0.509807244722621;0.450983316987268;0.392604380410191;0.352889319416405;0.335798618396671;0.333530858986614;0.338202333837196;0.350127040416615;0.3745610895004;0.411362186953409;0.44906656756192;0.469845350181408;0.461323713872063;0.42565219805694;0.378789682882942;0.340248781298508;0.320676845486523;0.316848044804371;0.317862221444053;0.316132698507482;0.312137449567817;0.308890020372803;0.303608052613421;0.286912317461785;0.25083961646495;0.196973291084859;0.136443198453291;0.0825678351465356;0.0434360752004362;0.0198165061138045;0.00783208313509108;0.0026848862651229;0.000823754383679189;0.000346006424773303;0.000627422917994416;0.00208014031293269;0.00646258541390565;0.0178494863878377;0.0443640753424471;0.10133268645828;0.217469214965766;0.444522934548645;0.862981602955906;1.56358286635723;2.58493916557412;3.82444897680181;4.99695577068242;5.7216030211276;2.63718792708114;0.583295229385765;0.002031144211239;0.00245743373705459;0.00596805336141829;0.0172271120138419;0.0181047669199328;0.000451365380275333;0.00238220617367537;0.0412748564407332;0.0610095539005492;0.0280097294315304;0.00391183329571955;0.000100303417838963;0.0215903106898368;0.0131648235913639;0.00180546152110133;2.50758544597407e-05;0.00160485468542341;0.0810702374683417;0.162290930063442;0.174703478021014;0.011409513779182;0.00814965269941573;0.00070212392487274;2.50758544597407e-05;0.0666014694450713;0.0497755711025853;0.0681310965671155;0.0799418240176534;0.0127886857744678;0.00516562601870659;0.000677048070412999;0.0049900950374884;0.000200606835677926;0.0012287168685273;0.000451365380275333;0;0;0.016249153689912;0.0301662529150681;0.00180546152110133;0.00150455126758444;0.000125379272298704;0;0.000727199779332481
"6";"Empirical antagonistic";"Host-Parasite";64;130;0.098719150265542;0.186105481741704;0.154558428892207;0.0885305742738874;0.0349752588272861;0.00953009190811257;0.00179180617033024;0.000245880799572849;0.000183586510616785;0.00133299524191185;0.00751193957307377;0.0292249460622101;0.0784201663352044;0.145141296398396;0.185369595451163;0.164089175345253;0.104961241428468;0.0658676913251603;0.0812415578694267;0.138354176784241;0.18664687978784;0.186682063701994;0.163923372361219;0.178124365514381;0.240556862139198;0.301004343752468;0.306927659189347;0.24680822479285;0.152104477594224;0.0714373688484439;0.0357570253158509;0.0546339523799282;0.131459600598333;0.247072476312253;0.337464591265064;0.338200100456289;0.263230477558783;0.200016431850938;0.214275119357465;0.288438219026442;0.36052827658174;0.392002918602539;0.382664508749792;0.354511946734475;0.345854338312926;0.384344513416939;0.443383446407486;0.467238085043838;0.446880528791712;0.438048614923968;0.499256795016592;0.607677387683708;0.662137149395818;0.600535683070065;0.469548170649252;0.355602045045778;0.291830304232846;0.262679513338515;0.26764890529914;0.320573930000853;0.405791236553856;0.482057826729083;0.51285313747833;0.491962543144115;0.45420563547696;0.441116236124926;0.441756653508523;0.395705634628499;0.284941788632776;0.177724097200319;0.146200861795047;0.186851262465154;0.248876684860892;0.315839396095399;0.411287602005076;0.515431468400016;0.552762509152687;0.49279617997337;0.385800256236461;0.278843598491279;0.178460304199367;0.09761028571288;0.0655325516972762;0.0934956937442208;0.15455019628741;0.195986394991963;0.193591298757866;0.182190603312397;0.192954015130052;0.1964800706619;0.155447774572362;0.0875394135687689;0.0342776653716993;0.00963080021367071;0.00667275266016945;0.0461535903273226;0.294307396679247;1.30048159899505;3.96371700385482;8.33236945895057;12.0809603904973;1.43658094172359;0.482594936708862;6.10422893640185e-05;0.000220409025836535;0.000393877303839348;0.0020464620681089;0.00353137370842919;0.000371469374832303;0.00108060305918456;0.00891700354219133;0.0203728640752412;0.012034023735792;0.0059950868683934;0.000848796897042714;0.0211768451142698;0.00272468826417557;0.00439755606763254;0.000527938534278046;0.00503521618532439;0.0328589098272098;0.0943049282569587;0.119717258297164;0.0326479662196607;0.0209044728737532;0.0125387816538558;0.00211890149377823;0.106307658160862;0.119851512699404;0.0270291780211442;0.0298025455793696;0.0654425498368761;0.00552046375140798;0.00973083634311098;0.0230067615925779;0.0102037209138803;0.000420341840683875;0.00363858405841979;0.00332680477033901;0.000436181928430234;0.113066159989909;0.0170342758249933;0.0267452154725204;0.00550810075609375;0.00719178618045067;0.000929735881990574;0.0199811116612215
"7";"Empirical antagonistic";"Host-Parasitoid";41;161;0.0432343234323432;0.15370971937717;0.187229559670427;0.22527524450826;0.270237533060235;0.314231021461645;0.347789675066194;0.369477015200714;0.382819486947121;0.388603899601443;0.385737123610825;0.376256634771572;0.363647462388038;0.348946989847307;0.334788452326862;0.330090183729604;0.341619479232236;0.361155373430179;0.370342068098481;0.36201733929586;0.350846360563273;0.357903948383639;0.387517112458074;0.423397414780383;0.445401576290013;0.445871800868848;0.431376770887167;0.413843215045343;0.401038584488371;0.393364724199938;0.38922647966318;0.392046806389546;0.407654396245791;0.433437867798903;0.45424340801599;0.452867296418913;0.42524608148239;0.385348013045725;0.354992506404104;0.346688873846751;0.354262135063496;0.361152644776122;0.359343055333419;0.358656882641121;0.375239795522122;0.411937547889198;0.452907651768126;0.477248666196824;0.474996334850294;0.450543307394298;0.416023787416438;0.384945246100017;0.368355250981517;0.369025589699199;0.376377142812014;0.373184378853571;0.353634623521013;0.332119750988041;0.328220216652003;0.345246263363641;0.369678824252517;0.388387595005639;0.398203163343105;0.401364757442601;0.40194317440603;0.407469780412999;0.424407455474821;0.447003993650265;0.456100482870683;0.435672182872543;0.390853010929056;0.346859406265297;0.329536805289155;0.346780080488033;0.385516194782343;0.422697072195344;0.43997799426576;0.43156864480665;0.400155338616619;0.348875872215179;0.282825946877289;0.216278487819733;0.168114050559956;0.145683650395292;0.138626933496312;0.13243400717472;0.124269079648871;0.121096863296156;0.12474294995484;0.125288031052149;0.111339462774112;0.0830118925220472;0.0526537415902566;0.0391387933992511;0.0764022481583961;0.248508476413187;0.727551700813516;1.73226947302996;3.3225027637574;5.12924700303714;6.37307577830135;1.93060483348044;0.551526717557249;0.000284173180776444;0.000546653752333311;0.0011714008978571;0.0046899421132723;0.00687113397030065;0.000427344401625644;0.00115946996278633;0.0155948167679531;0.0347689140571362;0.0182174532225998;0.00644270493821403;0.000527130404035693;0.0185200651212129;0.0074362264404706;0.00350010249757856;0.000255972788790995;0.00213455274720626;0.0418764974679302;0.1338401449934;0.162170692634166;0.0293284076648665;0.0218227648748933;0.00755011263887337;0.000647524385204339;0.0840892303787638;0.0873561373272319;0.0662557363393505;0.064847886001;0.048736785133621;0.00988423739089973;0.00517368729886884;0.0131240285778434;0.00451640123951569;0.000628001036906721;0.00258575901897344;0.00134602640207468;9.43628501051549e-05;0.0403406607351842;0.0306885342629339;0.00940483072714711;0.00558042372173589;0.00228965490312623;0.000144255851310179;0.00312915887992382
"8";"Empirical mutualistic";"Pollination";90;112;0.149414941494149;0.252480579192103;0.195897266702775;0.0915017862877934;0.0257295129726864;0.00435546327532089;0.00044385175764013;2.72296669306421e-05;1.00565151355144e-06;2.23590575005496e-08;2.99293042686096e-10;7.22831179062341e-12;5.57587568656421e-10;3.88543228605678e-08;1.62995472588084e-06;4.11635398283851e-05;0.000625823458589482;0.0057279499168759;0.0315642541191802;0.104786084663494;0.210385438964624;0.261820670873562;0.231465447135095;0.222040571998224;0.281291103972855;0.334640499285099;0.343985735920319;0.309263397256308;0.224969585910081;0.172205374717325;0.259643010624409;0.469371014230225;0.643355402071253;0.615288653248928;0.394652752694671;0.164976367107938;0.0547070119043411;0.0615635836002043;0.148256808974935;0.239618339147442;0.234131249676728;0.137742847269118;0.0487994670098545;0.010675613179815;0.00429287628576998;0.0193087160136779;0.0750779868714827;0.176662347729977;0.250266823268268;0.213434183932728;0.10958361764587;0.0339788891507746;0.00772022900941879;0.0116112740290117;0.0505150965872983;0.140600816634236;0.235804910518152;0.23808085997095;0.14471054194889;0.0529795757478045;0.0121324930192978;0.00609517265103571;0.0267025035985534;0.0935072468290026;0.198014756969674;0.252451209796841;0.193757498583198;0.089524186684184;0.0249013588373344;0.00416971629123332;0.000420330363651886;2.55079653221401e-05;9.3188360173689e-07;2.04950186819836e-08;2.7135371067243e-10;2.16283808484443e-12;1.03779852522952e-14;2.99780160203219e-17;5.21306959453214e-20;5.45738955746755e-23;3.43935643235323e-26;1.30487891297574e-29;2.98076500213009e-33;4.05402548699334e-33;2.26271064105229e-29;7.60354748502001e-26;1.53816988064976e-22;1.87323878382341e-19;1.37335488316493e-16;6.06140368251352e-14;1.61051375444165e-11;2.57606291319608e-09;2.48055744878133e-07;1.43794710642264e-05;0.00050180771047382;0.0105422314410319;0.133330208996715;1.01513866737767;4.65289207195434;12.8387098537142;21.3265491001152;2.38941569655832;0.47289156626506;1.34298872107912e-05;1.1083702095653e-05;0.000233809482163775;0.00394604065485748;0.000411472327434242;2.28146276713441e-05;1.27017607957483e-05;0.0567725829014398;0.00762566794474427;0.00253970493566963;0.00111767404709085;4.50629347976549e-05;0.000518587813380553;8.12265467447855e-05;7.84758469546234e-05;6.06772012535748e-06;1.27826637307531e-05;0.675961335192914;0.123935206133802;0.0695450528623822;0.0221698312793561;0.00943263499807572;0.00251462502581815;7.26508356342802e-05;0.00825315110864124;0.00451001501477571;0.00214400868056131;0.00220735567867005;0.00332551514337092;0.000270296705850925;0.000166983657849838;0.000616237655931306;0.000274908173146196;5.93018513584938e-05;0.000153553770639047;4.86226639378646e-05;2.50799098514776e-06;0.000615428626581258;9.21484429704289e-05;0.000115853002926825;2.71833861616015e-05;2.50799098514776e-05;2.02257337511916e-06;9.30383752554813e-06
"9";"Empirical mutualistic";"Pollination";24;44;0.217647058823529;0.377612162438399;0.345941009481218;0.265993039193288;0.171652701991725;0.0929700730562388;0.0422618045354312;0.0161239017105614;0.00516466800983596;0.0014003957862741;0.000391786880704313;0.000463828645306288;0.00175223293069482;0.00630232684654199;0.0191208447336997;0.0487023694582868;0.104144555263986;0.187070569859373;0.282716832338168;0.36112325638899;0.394841449602196;0.381901988939171;0.350977416081388;0.338952842267009;0.359014081889647;0.388942120801315;0.390819528160327;0.34350158120094;0.258503058232246;0.168854201493109;0.106897856719392;0.0917043609093343;0.129383936456761;0.215518466927128;0.333726392585294;0.456337376402578;0.553016656693765;0.601723831954637;0.592910206550473;0.528382453593596;0.42202155015359;0.300740885955332;0.198397550792613;0.144051002652339;0.153170967518308;0.224701216538099;0.340827219761901;0.469796568048306;0.574920657152237;0.626942425914268;0.612812617152921;0.539197570671938;0.432717486161499;0.334069139708905;0.28198727728671;0.29293533180007;0.351493682639466;0.421733136090557;0.472754829239357;0.4963456187153;0.500253516547875;0.48733497426653;0.447755401686395;0.373685144976311;0.276464713519597;0.185187661788103;0.130311239898003;0.129326861136299;0.18111370229848;0.26475204325968;0.343186447338789;0.37776060126042;0.349828213158456;0.272029484528964;0.177554615559865;0.097267722173145;0.0447218152701146;0.0172576876406216;0.00558930752702724;0.00151930710943553;0.000346613350596166;6.63677588933996e-05;1.06654995691099e-05;1.438544970094e-06;1.63239628503188e-07;2.20358119140747e-08;9.21248746812468e-08;1.05629622199001e-06;1.03013475579218e-05;8.43233903178844e-05;0.000579314529621129;0.0033403573700475;0.0161652934530985;0.0656578113963397;0.223821272299681;0.640366297672187;1.53768622118868;3.09898252569271;5.24182696780118;7.44146396645875;8.86637782967998;1.81186060204845;0.406866325785245;0.000794119225197188;0.000858507270483447;0.00393840210334281;0.0153136234372485;0.0106025647904706;0.00121264151955787;0.000708268498148844;0.0492568546439878;0.0471964371948275;0.0250576809572356;0.014701937007029;0.00134141761013039;0.00961528142941461;0.00461447657884853;0.00277941728819016;0.000525835703171111;0.000397059612598594;0.132896925470838;0.166335783656168;0.177850512421527;0.0638192842195632;0.0370875140848849;0.0152170413693191;0.000987283361055964;0.0356817084294683;0.0329237538230402;0.0344690669099104;0.0352524547942265;0.0287277995385523;0.00899286365831411;0.0027901486290712;0.00913237108976767;0.00716853570853678;0.0013199549283683;0.00226431292590009;0.0017921339271342;0.000364865589955465;0.00584858078016848;0.00622417771100499;0.00168482051832376;0.000965820679293878;0.000998014701937007;0.000150238772334603;0.00013950743145356
"10";"Empirical mutualistic";"Pollination";8;28;0.205555555555556;0.429170432009725;0.415721778749111;0.375170987759798;0.323608522162255;0.280329537344199;0.261161514354616;0.273148603037369;0.31234771259858;0.365416580376045;0.414620063871343;0.444727779807825;0.449194538178613;0.432768656508002;0.408947585188029;0.393185382579725;0.395089753070372;0.413557702481366;0.437368786770606;0.450937812565926;0.442268469000371;0.409100823838118;0.360342441442909;0.312378957167094;0.282255193289003;0.280782647006195;0.30821357742899;0.353901112560316;0.399984299111653;0.427806722886623;0.424671718017471;0.38821181232617;0.326659663841407;0.255374489840639;0.191834143444123;0.151634222231197;0.146646227223632;0.184521952553798;0.267773942104438;0.391523458146069;0.541095373001662;0.692254802717617;0.816338432581213;0.889575582956258;0.902351083974678;0.862920180293826;0.792729964908619;0.715611848420866;0.64705346824436;0.589581610398734;0.536154160357136;0.478447783828452;0.414469619690029;0.351215436077968;0.301609222342145;0.278078408044833;0.286245648121316;0.32150367059425;0.369725584476754;0.411799260449815;0.430276063223089;0.41545571322024;0.36829006898288;0.29892643554183;0.221903363836207;0.150588339061451;0.0934041971726377;0.0529488324706269;0.0274314059852347;0.0129878134276983;0.00561976453872965;0.00222225254964112;0.000803085086076605;0.00026522985978939;8.00526879166456e-05;2.20811690947912e-05;5.56623468636131e-06;1.28238853640955e-06;2.70614435058715e-07;5.66134632636011e-08;4.00759007583083e-08;1.88837918743645e-07;1.03712535786806e-06;5.24416632129413e-06;2.42381689704401e-05;0.000102380686525612;0.000395210917486709;0.00139422362472685;0.00449498812327055;0.0132439418892419;0.0356614166314123;0.0877551318209214;0.197350877323683;0.405600243164097;0.761815770490429;1.30765842974457;2.05130993589665;2.94076862509226;3.85285829007141;4.6131526112696;5.04783575175222;2.4628580407012;0.471877282688093;0.00492021276595745;0.00585106382978723;0.011436170212766;0.0179521276595745;0.0337765957446809;0.00292553191489362;0.00797872340425532;0.0180851063829787;0.0618351063829787;0.0372340425531915;0.0171542553191489;0.00132978723404255;0.0559840425531915;0.00598404255319149;0.0103723404255319;0.000664893617021277;0.00930851063829787;0.0118351063829787;0.0694148936170213;0.119547872340426;0.0212765957446809;0.0238031914893617;0.00731382978723404;0.000265957446808511;0.0973404255319149;0.0978723404255319;0.0191489361702128;0.0251329787234043;0.0566489361702128;0.00398936170212766;0.00545212765957447;0.0170212765957447;0.00518617021276596;0.000531914893617021;0.00265957446808511;0.000930851063829787;0.000132978723404255;0.0731382978723404;0.00837765957446809;0.0199468085106383;0.000132978723404255;0.00265957446808511;0;0.0074468085106383
